,GeoFips,GeoName,2022
0,1001,"Autauga, AL",39.1414061085956
1,1003,"Baldwin, AL",44.42942183913949
2,1005,"Barbour, AL",39.21140125401133
3,1007,"Bibb, AL",41.394500613470434
4,1009,"Blount, AL",46.2583295550314
5,1011,"Bullock, AL",30.857599771733813
6,1013,"Butler, AL",51.471577575027915
7,1015,"Calhoun, AL",32.692628334504946
8,1017,"Chambers, AL",36.031309799458214
9,1019,"Cherokee, AL",47.96516276364567
10,1021,"Chilton, AL",43.84410462052264
11,1023,"Choctaw, AL",52.44230651518778
12,1025,"Clarke, AL",47.146288418981186
13,1027,"Clay, AL",37.47431059850314
14,1029,"Cleburne, AL",46.99708542997493
15,1031,"Coffee, AL",36.90803412732073
16,1033,"Colbert, AL",33.983626364388144
17,1035,"Conecuh, AL",44.07543689172948
18,1037,"Coosa, AL",51.99509870397403
19,1039,"Covington, AL",35.527659955878924
20,1041,"Crenshaw, AL",49.32795569552066
21,1043,"Cullman, AL",49.067998741630305
22,1045,"Dale, AL",29.26931120144157
23,1047,"Dallas, AL",41.64453467260828
24,1049,"DeKalb, AL",43.05466222658584
25,1051,"Elmore, AL",36.90641324514616
26,1053,"Escambia, AL",38.23084663905462
27,1055,"Etowah, AL",36.02716336069638
28,1057,"Fayette, AL",48.51143210489841
29,1059,"Franklin, AL",42.29825337181074
30,1061,"Geneva, AL",36.91305637349753
31,1063,"Greene, AL",37.767417466296635
32,1065,"Hale, AL",41.54673393223707
33,1067,"Henry, AL",53.61732430623579
34,1069,"Houston, AL",37.579123549600304
35,1071,"Jackson, AL",39.08358613653176
36,1073,"Jefferson, AL",46.81473101241168
37,1075,"Lamar, AL",39.6470645886931
38,1077,"Lauderdale, AL",38.49650507587144
39,1079,"Lawrence, AL",42.155840038737146
40,1081,"Lee, AL",45.54476228812611
41,1083,"Limestone, AL",47.20540137046434
42,1085,"Lowndes, AL",43.12886623954053
43,1087,"Macon, AL",41.65761814096547
44,1089,"Madison, AL",38.953718120458696
45,1091,"Marengo, AL",44.09557406290503
46,1093,"Marion, AL",51.807710633463074
47,1095,"Marshall, AL",44.92834610521489
48,1097,"Mobile, AL",41.45026452662556
49,1099,"Monroe, AL",42.447786836638755
50,1101,"Montgomery, AL",32.87802192457179
51,1103,"Morgan, AL",36.44972839586705
52,1105,"Perry, AL",40.36789748617608
53,1107,"Pickens, AL",39.851393147271786
54,1109,"Pike, AL",40.63188449117166
55,1111,"Randolph, AL",45.07987504149408
56,1113,"Russell, AL",31.63490099927849
57,1115,"St. Clair, AL",48.89194571283935
58,1117,"Shelby, AL",47.87787279012579
59,1119,"Sumter, AL",38.98017761104137
60,1121,"Talladega, AL",40.62911375346394
61,1123,"Tallapoosa, AL",41.21354576799514
62,1125,"Tuscaloosa, AL",24.84223616186041
63,1127,"Walker, AL",35.44739082858517
64,1129,"Washington, AL",39.0500565594282
65,1131,"Wilcox, AL",45.247527847543616
66,1133,"Winston, AL",46.908857514703435
67,2010,"Aleutian Islands Census Area, AK*",0.0
68,2013,"Aleutians East Borough, AK*",63.5037498373915
69,2016,"Aleutians West Census Area, AK*",55.89664638245032
70,2020,"Anchorage Municipality, AK",29.787676354170095
71,2050,"Bethel Census Area, AK*",36.28512373409899
72,2060,"Bristol Bay Borough, AK",85.24886708128867
73,2063,"Chugach Census Area, AK*",inf
74,2066,"Copper River Census Area, AK*",inf
75,2068,"Denali Borough, AK*",71.68863808149408
76,2070,"Dillingham Census Area, AK*",35.831207588686866
77,2090,"Fairbanks North Star Borough, AK",38.468950711872495
78,2100,"Haines Borough, AK*",76.58780237146159
79,2105,"Hoonah-Angoon Census Area, AK*",49.209357237055876
