,Unnamed: 0,GeoFips,GeoName,2022,CAGR,Total Growth Rate
0,286,8031,"Denver, CO",90.84311156886324,6.732323053801781,18.00719374468493
1,1638,30031,"Gallatin, MT",78.8058010306815,7.792158465529453,39.25918490262999
2,356,12021,"Collier, FL",76.74841237579469,6.919575091253827,23.41970775757275
3,140,5007,"Benton, AR",75.37428720647456,6.678545975094719,35.8775920392653
4,2241,41017,"Deschutes, OR",74.64291818502448,8.269752875268455,30.814977136559968
5,2826,49049,"Utah, UT",74.07781671885085,6.837102587939925,35.0707337193226
6,387,12085,"Martin, FL",73.33166238501168,7.084389730404928,10.66512743095639
7,395,12099,"Palm Beach, FL",71.481336643321,7.468654190732304,14.741112624056019
8,375,12061,"Indian River, FL",71.29317025264362,6.92188949088508,21.0345126855093
9,276,8013,"Boulder, CO",69.66681976615581,6.441267844555343,10.943672374189429
10,2828,49053,"Washington, UT",68.07307269373601,8.20472731674522,42.77975601476335
11,133,4021,"Pinal, AZ",67.56594783237098,8.375411905302933,20.923192355187812
12,2774,48453,"Travis, TX",66.73632996539611,6.570434873114461,28.67949934323238
13,603,16055,"Kootenai, ID",64.69430349046341,8.098045017307642,32.164635243806735
14,481,13139,"Hall, GA",63.90694970384403,6.725486313155349,17.99637176635063
15,403,12115,"Sarasota, FL",63.002056621453015,7.417850619221733,21.69456188104477
16,2819,49035,"Salt Lake, UT",62.77935337295535,6.91278648771263,14.7350349643586
17,1654,30063,"Missoula, MT",62.402747732658455,6.713996587148818,10.54578333059345
