year,state,designatedArea,county_fips,number_of_disasters,rank
2023,TX,Franklin (County),48159,1,370
2023,TX,Gillespie (County),48171,1,371
2023,TX,Hays (County),48209,1,372
2023,TX,Henderson (County),48213,1,373
2023,TX,Hopkins (County),48223,1,374
2023,TX,Kendall (County),48259,1,375
2023,TX,Kerr (County),48265,1,376
2023,TX,Kimble (County),48267,1,377
2023,TX,Lee (County),48287,1,378
2023,TX,Leon (County),48289,1,379
2023,TX,Limestone (County),48293,1,380
2023,TX,Milam (County),48331,1,381
2023,TX,Red River (County),48387,1,382
2023,TX,Robertson (County),48395,1,383
2023,TX,Travis (County),48453,1,384
2023,TX,Williamson (County),48491,1,385
2023,VT,Bennington (County),50003,1,386
2023,VT,Caledonia (County),50005,1,387
2023,VT,Rutland (County),50021,1,388
2023,VT,Windham (County),50025,1,389
2023,VT,Windsor (County),50027,1,390
2023,WA,Clallam (County),53009,1,391
2023,WA,Island (County),53029,1,392
2023,WA,Jefferson (County),53031,1,393
2023,WA,Lewis (County),53041,1,394
2023,WA,Okanogan (County),53047,1,395
2023,WA,Skagit (County),53057,1,396
2023,WA,Skamania (County),53059,1,397
2023,WA,Snohomish (County),53061,1,398
2023,WA,Wahkiakum (County),53069,1,399
